"SampleID","Project","Amplicon","Tree_Species","BurnYear","Latitude","Longitude","Field_Office","BLM_Fire_Name","Tracking_Number","alpha-pinene","para-cymene","alpha-terpineol","cedr-9-ene","alpha-cedrene","beta-cedrene","cis-thujopsene","alpha-himachalene","beta-chamigrene","cuparene","compound 1","alpha-chamigrene","widdrol","cedrol","beta-acorenol","alpha-acorenol","gamma-eudesmol","beta-eudesmol","alpha-eudesmol","cedr-8-en-13-ol","cedr-8-en-15-ol","compound 2","thujopsenal","Yield_percent","Bolt_Surface_Area_cm2","Raw_Exit_Holes_per_cm2","Raw_Exit_Holes","Living_Larvae","ChemTotal","ChemMean","YearsSinceBurn","SampleType","Pre_or_PostDentalChew","DogAgeMonths","OtherDogVariables","DogGender","DogBreed","DogSize","DogActivityLevel","DogDisposition","DogFixed","DogHealthProblems","DogHealthHistory","DogVaccinationsCurrent","DogFoodBrand","DogOralIssues","DogDentalChewUse","DogOtherAnimals","DogOtherAnimalType","DogCollectionCity"
"FAYE-ITS2-BM3","Faye_Decomp","ITS2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-ITS2-BM2","Faye_Decomp","ITS2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-ITS2-BM1","Faye_Decomp","ITS2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-ITS2-BD3","Faye_Decomp","ITS2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-ITS2-BD2","Faye_Decomp","ITS2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-ITS2-BD1","Faye_Decomp","ITS2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-ITS2-B2","Faye_Decomp","ITS2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-ITS2-B1","Faye_Decomp","ITS2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-WM3","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-WM2","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-WM1","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-WD3","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-WD2","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-WD1","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-PM3","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-PM2","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-PM1","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-PD3","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-PD2","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-PD1","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-BM3","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-BM2","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-BM1","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-BD3","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-BD2","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-BD1","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-B2","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"FAYE-16S-B1","Faye_Decomp","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"DMNEG-5","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"DMNEG-4","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"DMNEG-3","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"DMNEG-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"DMNEG-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Blank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"DM-MOCK","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mock","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"DM099-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",12,,"F","GREAT_DANE_WEIMARANER","L","Very_Active","Hyper","Y","N","NA","Y","Kirkland","N","Y","N","NA","Lehi"
"DM099-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",12,,"F","GREAT_DANE_WEIMARANER","L","Very_Active","Hyper","Y","N","NA","Y","Kirkland","N","Y","N","NA","Lehi"
"DM098-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",144,,"F","LABRADOR_RETRIEVER","L","Light","Calm","Y","Y","Occasional_Body_Shakes","Unknown","Kirkland","N","N","Y","Dog_Chickens_Turtle","Elk_Ridge"
"DM098-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",144,,"F","LABRADOR_RETRIEVER","L","Light","Calm","Y","Y","Occasional_Body_Shakes","Unknown","Kirkland","N","N","Y","Dog_Chickens_Turtle","Elk_Ridge"
"DM097-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",12,,"M","GOLDEN_RETRIEVER_POODLE","L","Light","Excitable_Friendly","Y","N","NA","Y","Kirkland","N","N","N","NA","South_Jordan"
"DM097-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",12,,"M","GOLDEN_RETRIEVER_POODLE","L","Light","Excitable_Friendly","Y","N","NA","Y","Kirkland","N","N","N","NA","South_Jordan"
"DM096-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",84,,"M","BOXER","L","Sedentary","Calm","Y","Y","Cancer_Arthritis","Y","Blue_Buffalo","Y","N","Y","Dogs","Pleasant_Grove"
"DM096-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",84,,"M","BOXER","L","Sedentary","Calm","Y","Y","Cancer_Arthritis","Y","Blue_Buffalo","Y","N","Y","Dogs","Pleasant_Grove"
"DM093-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",24,,"F","BELGIAN_SHEPHERD_DOG","L","Extremely_Active","Hyper","Y","N","NA","Y","Blue_Buffalo","N","N","Y","Dogs","Pleasant_Grove"
"DM093-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",24,,"F","BELGIAN_SHEPHERD_DOG","L","Extremely_Active","Hyper","Y","N","NA","Y","Blue_Buffalo","N","N","Y","Dogs","Pleasant_Grove"
"DM088-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",18,,"F","LABRADOR_RETRIEVER_Unknown_Mix","L","Moderate","Hyper","Y","N","NA","Y","Victor","N","N","N","NA","Springville"
"DM088-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",18,,"F","LABRADOR_RETRIEVER_Unknown_Mix","L","Moderate","Hyper","Y","N","NA","Y","Victor","N","N","N","NA","Springville"
"DM087-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",84,,"F","WEIMARANER","L","Light","Neurotic","Y","N","NA","Y","Kirkland","N","N","N","NA","Salt_Lake_City"
"DM087-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",84,,"F","WEIMARANER","L","Light","Neurotic","Y","N","NA","Y","Kirkland","N","N","N","NA","Salt_Lake_City"
"DM085-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",16,,"F","BORDER_COLLIE_GERMAN_SHEPHERD_DOG_LABRADOR_RETRIEVER","L","Moderate","Hyper","Y","N","NA","Y","IFA","N","N","Y","Dog_Chickens_Turtle","Elk_Ridge"
"DM085-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",16,,"F","BORDER_COLLIE_GERMAN_SHEPHERD_DOG_LABRADOR_RETRIEVER","L","Moderate","Hyper","Y","N","NA","Y","IFA","N","N","Y","Dog_Chickens_Turtle","Elk_Ridge"
"DM084-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",96,,"F","LABRADOR_RETRIEVER","L","Light","Princess","Y","Y","Arthritis_in_shoulders_possible_hip_displaysia","Y","Kirkland","N","N","Y","Dog","Springville"
"DM084-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",96,,"F","LABRADOR_RETRIEVER","L","Light","Princess","Y","Y","Arthritis_in_shoulders_possible_hip_displaysia","Y","Kirkland","N","N","Y","Dog","Springville"
"DM080-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",108,,"M","AUSTRALIAN_SHEPHERD_BLACK_AND_TAN_COONHOUND","L","Moderate","Nice_Protective","Y","N","NA","Unknown","Purina","N","N","Y","Dog","Lindon"
"DM080-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",108,,"M","AUSTRALIAN_SHEPHERD_BLACK_AND_TAN_COONHOUND","L","Moderate","Nice_Protective","Y","N","NA","Unknown","Purina","N","N","Y","Dog","Lindon"
"DM079-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",54,,"F","LABRADOR_RETRIEVER_Unknown_Mix","R","Moderate","Calm","Y","Y","Amputee","Y","Science_Diet","N","Y","N","NA","Provo"
"DM079-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",54,,"F","LABRADOR_RETRIEVER_Unknown_Mix","R","Moderate","Calm","Y","Y","Amputee","Y","Science_Diet","N","Y","N","NA","Provo"
"DM078-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",24,,"M","GOLDEN_RETRIEVER,POODLE","R","Light","Calm","Y","N","NA","Y","Blue_Buffalo","N","N","N","NA","American_Fork"
"DM078-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",24,,"M","GOLDEN_RETRIEVER,POODLE","R","Light","Calm","Y","N","NA","Y","Blue_Buffalo","N","N","N","NA","American_Fork"
"DM077-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",60,,"F","AUSTRALIAN_SHEPHERD","R","Light","Calm","Y","N","NA","Y","Purina","N","N","Y","Dog","Orem"
"DM077-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",60,,"F","AUSTRALIAN_SHEPHERD","R","Light","Calm","Y","N","NA","Y","Purina","N","N","Y","Dog","Orem"
"DM076-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",50,,"F","AUSTRALIAN_CATTLE_DOG","R","Light","Calm","Y","N","NA","Y","Purina","N","N","Y","Dog","Orem"
"DM076-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",50,,"F","AUSTRALIAN_CATTLE_DOG","R","Light","Calm","Y","N","NA","Y","Purina","N","N","Y","Dog","Orem"
"DM074-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",84,,"F","AUSTRALIAN_SHEPHERD_BORDER_COLLIE","R","M","Timid","N","Y","Severe_Separation_Anziety","Y","Castor_and_Pollux","Y","N","N","NA","Provo"
"DM074-1","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Pre",84,,"F","AUSTRALIAN_SHEPHERD_BORDER_COLLIE","R","M","Timid","N","Y","Severe_Separation_Anziety","Y","Castor_and_Pollux","Y","N","N","NA","Provo"
"DM073-2","DogMouth","16S","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sample","Post",132,,"F","AUSTRALIAN_SHEPHERD_GERMAN_SPITZ_IRISH_RED_SETTER_LABRADOR RETRIEVER,SIBERIAN HUSKY","R","Moderate","Mellow","Y","N","NA","Y","Kirkland","N","N","Y","Cats","Salt_Lake_City"
